         stars     FeH   FeH_sig       C   C_sig      Mg   Mg_sig      Fe   Fe_sig      Sr   Sr_sig       Y   Y_sig      Zr   Zr_sig    Nb   Nb_sig     Mo   Mo_sig    Ru   Ru_sig      Ba   Ba_sig      La   La_sig      Ce   Ce_sig    Pr   Pr_sig      Nd   Nd_sig    Sm   Sm_sig      Eu   Eu_sig    Dy   Dy_sig      Pb   Pb_sig   Type  
      HD105671    0.10      0.25    0.01    0.09    0.01     0.11    0.04     0.09    0.19     0.11   -0.06    0.12    0.16     0.14   nan      nan   0.21     0.14   nan      nan   -0.03     0.13    0.17     0.16   -0.07     0.20   nan      nan    0.31     0.16   nan      nan    0.26     0.14   nan      nan    0.21     0.18      B  
     BD+412150   -0.48      0.18    0.37    0.05    0.04     0.16   -0.50     0.18    0.52     0.15    0.60    0.15    0.91     0.13   nan      nan   0.89     0.13   nan      nan    1.40     0.12    1.38     0.14    1.20     0.10   nan      nan    1.20     0.09   nan      nan    0.32     0.16   nan      nan    0.92     0.18      C  
      HD116514   -0.04      0.17    0.00    0.19    0.20     0.11   -0.04     0.11    0.12     0.14   -0.26    0.10    0.20     0.11   nan      nan   0.50      nan   nan      nan   -0.23     0.13    0.30     0.20   -0.20     0.19   nan      nan    0.30      nan   nan      nan   -0.20     0.20   nan      nan    0.90      nan      N  
      HD196673    0.00      0.14   -0.05    0.13    0.14     0.20   -0.15     0.22    0.15     0.12   -0.35    0.23   -0.07     0.17   nan      nan   0.15     0.19   nan      nan   -0.35     0.22   -0.15     0.13   -0.10     0.14   nan      nan   -0.05     0.14   nan      nan   -0.15     0.16   nan      nan     nan      nan      B  
     CD-621346   -1.33      0.10    0.91    0.07    0.31     0.11   -1.36     0.18    0.54     0.14    0.41    0.11    0.51     0.16   nan      nan   0.81      nan   nan      nan    1.41     0.13    1.03     0.11    1.04     0.11   nan      nan    1.31     0.18   nan      nan    0.51     0.11   nan      nan    2.06     0.14      C  
  TYC825811891   -0.08      0.08   -0.24    0.11    0.01     0.16   -0.09     0.22    0.21     0.15   -0.02    0.11    0.14     0.13   nan      nan   0.31     0.20   nan      nan    0.29     0.12    0.26     0.14    0.26     0.14   nan      nan    0.36     0.14   nan      nan    0.21     0.16   nan      nan    0.41      nan      N  
       HD50264   -0.17      0.07    0.31    0.09    0.07     0.11   -0.23     0.13    0.84     0.09    0.41    0.13    0.93     0.10   nan      nan   0.96     0.15   nan      nan    0.99     0.11    1.03     0.09    0.89     0.06   nan      nan    0.78     0.14   nan      nan    0.26     0.11   nan      nan    1.16     0.18      B  
      HD135148   -1.41      0.19    0.61    0.11    0.27     0.06   -1.45     0.18    0.37     0.26   -0.06    0.15    0.04     0.16   nan      nan   0.24     0.26   nan      nan    0.14     0.13    0.12     0.16    0.07     0.11   nan      nan    0.14     0.14   nan      nan    0.14     0.18   nan      nan     nan      nan      C  
  TYC225010471   -0.31      0.19    0.28    0.09    0.31     0.16   -0.29     0.06    0.71     0.10    0.38    0.13    0.40     0.11   nan      nan   0.74     0.18   nan      nan    0.98     0.12    0.96     0.10    0.83     0.10   nan      nan    0.93     0.11   nan      nan    0.38     0.11   nan      nan    1.18     0.18      N  
         HRCMa   -0.23      0.12    0.21    0.07    0.25     0.11   -0.34     0.25    0.94     0.18    0.85    0.18    1.04     0.11   nan      nan   0.81     0.13   nan      nan    1.40     0.13    1.02     0.13    0.97     0.09   nan      nan    1.01     0.14   nan      nan    0.31     0.11   nan      nan    1.11     0.18      B  
