BD+233093  3192  681  -2.25  0.38  0.18  0.08  
BD+284592  3358  724  -1.48  0.2  0.17  0.62  
BD+79  4574  91  -1.47  0.32  0.18  1.39  
BLCVn  3610  184  -2.75  0.33  0.18  0.62  
DICam  5096  777  -7.05  3.32  0.23  -2.31  
EIBoo  4362  174  -1.06  0.13  0.17  1.59  
EZBoo  3545  624  -1.62  0.25  0.17  0.44  
G25-25  3464  439  -4.45  1.4  0.19  -0.38  
GLDra  3329  733  -2.38  0.36  0.18  0.3  
HD264151  4615  441  -2.25  0.3  0.18  -0.03  
HD283112  4406  431  -3.26  0.58  0.18  -0.53  
HD32923  4339  205  -1.33  0.28  0.18  1.43  
IZCom  4014  321  -1.02  0.18  0.17  1.21  
OWGem  4220  473  -2.4  0.5  0.18  -3.35  
PVUMa  4304  200  -1.2  0.14  0.17  0.29  
RCam  4402  1103  -3.01  0.71  0.18  1.5  
SUMa  3554  1151  -3.64  1.36  0.18  0.63  
TDra  4077  968  -3.56  1.5  0.19  0.65  
TUTau  3821  1787  -5.39  6.68  0.2  -3.65  
TYUMi  4712  379  -3.38  0.47  0.18  0.61  
UUCnc  3369  431  -2.59  0.44  0.18  -0.62  
UVCrB  3784  202  -2.89  0.32  0.18  0.4  
V1260Ori  3925  54  -1.03  0.19  0.17  0.76  
V2359Cyg  4050  779  -2.86  1.08  0.18  2.05  
V335Sge  3461  387  -3.05  0.41  0.18  0.62  
V439Cep  4841  776  -5.37  0.89  0.2  -0.38  
V443Aur  4587  795  -6.46  4.43  0.2  -2.06  
V585Per  4309  1961  -1.74  0.8  0.18  2.69  
V826Her  4072  389  -1.29  0.23  0.17  0.93  
V846Her  4299  197  -1.28  0.24  0.17  0.45  
bd+091637  3249  779  -1.65  0.3  0.17  -1.11  
bd+094483  3694  414  -0.87  0.15  0.17  0.99  
bd+79269B  4070  199  -2.44  0.49  0.18  0.27  
hd101079  4246  420  -0.91  0.2  0.17  0.28  
hd104979  4349  168  -1.37  0.23  0.17  0.74  
